# total_scans #1
15.19360747281462 2.0
15.19360747281462 3.0
18.19360747281462 3.0
18.19360747281462 4.0
21.0 4.0
21.0 5.0
21.19360747281462 5.0
21.19360747281462 6.0
22.95843504113145 6.0
22.95843504113145 7.0
24.19360747281462 7.0
24.19360747281462 8.0
25.95843504113145 8.0
25.95843504113145 9.0
28.0 9.0
28.0 10.0
28.19360747281462 10.0
28.19360747281462 11.0
29.77904912969097 11.0
29.77904912969097 12.0
31.0 12.0
31.0 13.0
32.77904912969097 13.0
32.79539665347689 14.0
32.79539665347689 14.0
32.95843504113145 14.0
32.95843504113145 15.0
33.19360747281462 15.0
33.19360747281462 16.0
34.0 16.0
34.0 17.0
34.79539665347689 17.0
34.79539665347689 18.0
35.95843504113145 18.0
35.95843504113145 19.0
37.0 19.0
37.0 20.0
37.77904912969097 20.0
37.77904912969097 20.0
# total_scans #34
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.07684282865375 2.0
15.07684282865375 3.0
21.0 3.0
21.0 4.0
21.07684282865375 4.0
21.07684282865375 5.0
22.0722397826612 5.0
22.07684282865375 6.0
22.07684282865375 6.0
24.0 6.0
24.0 7.0
24.07684282865375 7.0
24.07684282865375 8.0
25.0722397826612 8.0
25.07684282865375 9.0
25.07684282865375 9.0
31.0 9.0
31.0 10.0
31.0722397826612 10.0
31.07684282865375 12.0
32.32743878825568 12.0
32.32743878825568 13.0
34.0722397826612 13.0
34.07684282865375 14.0
34.07684282865375 14.0
37.0722397826612 14.0
37.0722397826612 15.0
37.32743878825568 15.0
37.32743878825568 15.0
# total_scans #35
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.82873140275478 2.0
15.82873140275478 3.0
17.0 3.0
17.0 4.0
18.82873140275478 4.0
18.82873140275478 5.0
24.0 5.0
24.0 6.0
25.30436107562855 6.0
25.30436107562855 7.0
25.82873140275478 7.0
25.82873140275478 8.0
27.0 8.0
27.0 9.0
27.14822117595649 9.0
27.14822117595649 10.0
28.30436107562855 10.0
28.30436107562855 11.0
28.82873140275478 11.0
28.82873140275478 12.0
30.14822117595649 12.0
30.14822117595649 13.0
33.14822117595649 13.0
33.14822117595649 14.0
33.30436107562855 14.0
33.30436107562855 14.0
# total_scans #36
0.0 0.0
